,순,이름,팀,정렬,출장,완투,완봉,선발,승,패,세,홀드,이닝,실점,자책,타자,안타,연도,연봉
180,181,최정용,21K,0.01,1,0,0,0,0,0,0,0.0,0.1,0,0,2,1,21.0,3800만원
181,182,안인산,21N,0.01,7,0,0,0,0,0,0,0.0,6.2,5,4,34,3,21.0,
182,183,양현,21키,0.01,45,0,0,0,1,2,0,5.0,48.0,31,25,225,59,21.0,
183,184,강태경,21N,0.01,3,0,0,3,0,1,0,0.0,12.2,8,8,61,13,21.0,
184,185,강동호,21롯,0.0,1,0,0,0,0,0,0,0.0,1.1,1,1,7,1,21.0,
185,186,류원석,21L,0.0,6,0,0,0,0,0,0,0.0,6.0,4,4,28,1,21.0,4000만원
186,187,문대원,21두,0.0,2,0,0,0,0,0,0,0.0,1.1,1,1,9,2,21.0,3200만원
187,188,이승헌,21롯,-0.0,16,0,0,12,0,3,0,0.0,57.2,39,37,278,65,21.0,
188,189,윤산흠,21한,-0.0,5,0,0,0,0,0,0,0.0,3.0,2,2,19,7,21.0,3100만원
189,190,오동욱,21한,-0.0,34,0,0,0,0,1,0,2.0,25.0,17,15,117,21,21.0,
190,191,김건국,21롯,-0.0,13,0,0,0,0,0,0,0.0,22.0,16,16,104,27,21.0,
191,192,손정욱,21N,-0.02,15,0,0,0,1,0,0,0.0,12.1,9,9,61,17,21.0,4000만원
192,193,황윤호,21K,-0.02,1,0,0,0,0,0,0,0.0,0.2,1,0,4,2,21.0,
193,194,정인욱,21한,-0.02,8,0,0,1,0,0,0,0.0,9.1,6,5,44,6,21.0,
194,195,김강민,21S,-0.02,1,0,0,0,0,0,0,0.0,0.2,1,1,4,1,21.0,16000만원
195,196,정영일,21S,-0.03,1,0,0,0,0,0,0,0.0,2.0,2,2,9,4,21.0,
196,197,오석주,21L,-0.03,9,0,0,0,0,0,0,0.0,8.1,6,6,38,9,21.0,3500만원
197,198,홍민기,21롯,-0.04,1,0,0,0,0,0,0,0.0,0.1,1,1,3,0,21.0,
198,199,김동욱,21키,-0.04,3,0,0,0,0,0,0,0.0,3.0,3,3,16,7,21.0,
199,200,이형범,21두,-0.04,4,0,0,0,0,0,0,0.0,2.2,2,0,16,2,21.0,8100만원
200,201,최영환,21롯,-0.05,20,0,0,7,1,2,0,0.0,40.2,30,28,181,45,21.0,
201,202,이찬혁,21L,-0.06,1,0,0,0,0,0,0,0.0,1.0,2,2,6,1,21.0,3100만원
202,203,이준영,21K,-0.06,50,0,0,1,3,2,1,9.0,35.2,25,22,159,30,21.0,6700만원
203,204,황영국,21한,-0.06,18,0,0,0,0,2,0,2.0,14.2,10,9,71,16,21.0,3400만원
204,205,나원탁,21롯,-0.06,2,0,0,0,0,0,0,0.0,2.0,3,3,10,1,21.0,3100만원
205,206,조요한,21S,-0.06,6,0,0,0,0,0,0,1.0,7.0,6,6,38,10,21.0,3300만원
206,207,임현준,21삼,-0.06,27,0,0,0,1,2,0,5.0,11.0,8,8,52,11,21.0,
207,208,이승헌,21N,-0.06,5,0,0,0,0,0,0,0.0,5.1,5,4,27,9,21.0,
208,209,차우찬,21L,-0.08,5,0,0,5,2,1,0,0.0,22.1,14,13,99,16,21.0,30000만원
209,210,스미스,21키,-0.08,2,0,0,2,1,0,0,0.0,10.0,7,7,43,9,21.0,
210,211,유재유,21두,-0.09,4,0,0,0,0,0,0,0.0,3.1,4,4,19,4,21.0,3200만원
211,212,변시원,21K,-0.09,1,0,0,0,0,0,0,0.0,0.2,2,2,7,1,21.0,
212,213,서균,21한,-0.09,3,0,0,0,0,0,0,0.0,1.2,2,2,10,2,21.0,
213,214,신지후,21한,-0.09,2,0,0,0,0,0,0,0.0,0.1,2,0,3,0,21.0,3100만원
214,215,이상규,21L,-0.1,7,0,0,0,0,0,0,0.0,6.0,6,6,29,8,21.0,3700만원
215,216,정우준,21롯,-0.1,6,0,0,0,0,0,0,0.0,5.2,6,6,29,6,21.0,3100만원
216,217,조영우,21S,-0.11,30,0,0,8,4,8,1,0.0,66.2,46,42,291,74,21.0,6500만원
217,218,하준호,21K,-0.11,10,0,0,0,0,0,0,0.0,12.0,10,9,56,16,21.0,5000만원
218,219,남호,21두,-0.11,5,0,0,0,0,1,0,0.0,2.2,3,3,13,3,21.0,
219,220,박세웅,21삼,-0.11,4,0,0,0,0,0,0,0.0,3.0,4,3,18,5,21.0,
220,221,오현택,21롯,-0.12,20,0,0,0,0,1,0,1.0,16.1,13,12,87,28,21.0,
221,222,고봉재,21두,-0.12,1,0,0,0,0,0,0,0.0,1.1,4,4,8,5,21.0,
222,223,박주홍,21한,-0.12,2,0,0,1,1,1,0,0.0,3.0,4,4,18,2,21.0,
223,224,유원상,21K,-0.12,11,0,0,0,1,1,0,1.0,13.0,10,9,60,15,21.0,
224,225,김태형,21L,-0.12,2,0,0,0,0,0,0,0.0,1.0,3,3,6,0,21.0,
225,226,강지광,21S,-0.13,1,0,0,0,0,0,0,0.0,1.0,4,4,10,3,21.0,
226,227,이용준,21N,-0.13,2,0,0,0,0,0,0,0.0,1.2,4,4,12,3,21.0,3000만원
227,228,남지민,21한,-0.13,3,0,0,3,0,1,0,0.0,7.1,6,6,41,9,21.0,3300만원
228,229,장웅정,21한,-0.13,4,0,0,0,0,0,0,0.0,7.1,8,8,38,15,21.0,
229,230,강경학,21한,-0.14,1,0,0,0,0,0,0,0.0,0.2,4,4,8,3,21.0,7000만원
230,231,이채호,21S,-0.14,3,0,0,0,0,0,0,0.0,5.0,7,4,27,8,21.0,3000만원
231,232,정성종,21롯,-0.14,12,0,0,0,0,0,0,0.0,12.0,12,11,65,19,21.0,4100만원
232,233,김세현,21S,-0.14,5,0,0,0,0,0,0,0.0,4.1,5,5,28,9,21.0,
233,234,김동우,21롯,-0.15,5,0,0,0,0,0,0,0.0,5.0,7,6,30,10,21.0,3100만원
234,235,차명진,21K,-0.16,4,0,0,3,0,1,0,0.0,10.2,9,9,57,12,21.0,
235,236,임규빈,21키,-0.16,5,0,0,0,0,0,0,0.0,8.2,10,10,43,13,21.0,
236,237,양창섭,21삼,-0.16,9,0,0,0,1,1,0,1.0,15.0,11,11,73,21,21.0,4700만원
237,238,최동환,21L,-0.16,8,0,0,0,0,0,0,0.0,5.2,6,6,28,6,21.0,6000만원
238,239,이상동,21K,-0.17,6,0,0,0,0,1,0,1.0,6.1,6,6,29,7,21.0,
239,240,박재민,21롯,-0.17,5,0,0,0,0,0,0,0.0,2.2,5,5,13,3,21.0,
240,241,김유영,21롯,-0.17,26,0,0,0,1,0,0,0.0,18.2,16,15,92,21,21.0,4800만원
241,242,김태현,21N,-0.18,6,0,0,0,0,0,0,0.0,5.1,8,7,32,5,21.0,3000만원
242,243,이종민,21키,-0.18,2,0,0,0,0,0,0,0.0,2.1,6,6,17,4,21.0,
243,244,이정현,21K,-0.19,2,0,0,1,0,1,0,0.0,8.2,9,9,38,12,21.0,
244,245,김진호,21N,-0.19,1,0,0,1,0,1,0,0.0,1.0,3,3,7,2,21.0,3000만원
245,246,양선률,21S,-0.19,1,0,0,1,0,1,0,0.0,1.0,3,3,10,3,21.0,
246,247,한승혁,21롯,-0.19,7,0,0,0,0,0,0,0.0,4.0,6,6,25,6,21.0,5300만원
247,248,김창훈,21롯,-0.2,6,0,0,0,0,0,0,0.0,8.0,10,10,41,13,21.0,
248,249,김기탁,21한,-0.21,19,0,0,0,0,0,0,4.0,12.1,10,8,58,14,21.0,3500만원
249,250,소이현,21N,-0.21,10,0,0,0,0,0,0,0.0,10.2,12,8,59,13,21.0,
