,순,이름,팀,정렬,G,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,연도,연봉
37,38,오재일,21삼1B,2.8,120,484,418,64,119,20,0,25,214,97,1,0,58,0,8,106,5,0,8.0,21.0,60000만원
38,39,마차도,21롯SS,2.55,134,539,466,83,130,21,1,5,168,58,8,5,58,4,1,65,8,4,7.0,21.0,
39,40,정훈,21롯1B,2.46,135,561,486,70,142,27,1,14,213,79,8,1,68,3,8,89,6,1,3.0,21.0,
40,41,최주환,21S2B,2.36,116,470,406,50,104,16,0,18,174,67,2,1,53,9,4,84,7,0,2.0,21.0,65000만원
41,42,오지환,21LSS,2.33,134,532,464,62,118,19,2,8,165,57,12,6,54,5,0,82,11,4,5.0,21.0,60000만원
42,43,유강남,21LC,2.2,130,441,397,39,100,16,0,11,149,60,2,0,25,14,1,75,11,3,2.0,21.0,27000만원
43,44,최지훈,21SCF,2.12,136,534,461,75,121,19,6,5,167,45,26,6,51,8,0,71,6,8,6.0,21.0,15000만원
44,45,허경민,21두3B,2.07,136,518,468,61,130,24,1,5,171,59,5,7,36,8,1,35,21,3,3.0,21.0,120000만원
45,46,박계범,21두SS,2.06,118,385,322,44,86,12,1,5,115,46,4,3,44,9,0,68,8,7,3.0,21.0,14500만원
46,47,김태연,21한3B,1.91,53,220,176,29,53,12,0,3,74,34,5,3,34,5,0,44,4,0,5.0,21.0,5600만원
47,48,유한준,21KDH,1.87,104,336,281,30,87,16,0,5,118,42,1,0,44,7,5,34,12,0,4.0,21.0,
48,49,심우준,21KSS,1.74,139,460,407,61,109,20,2,6,151,48,16,6,32,4,0,65,2,10,6.0,21.0,26000만원
49,50,김인태,21두RF,1.74,133,418,344,51,89,15,1,8,130,46,0,2,62,3,0,67,10,5,4.0,21.0,14000만원
50,51,장성우,21KC,1.73,127,460,385,46,89,13,0,14,144,63,1,2,60,3,3,69,16,9,3.0,21.0,50000만원
